track_id,name,artist,spotify_id,energy,valence
TRSXCET128F92EB269,I Kissed a Girl,Katy Perry,005lwxGU1tms6HGELIcUv9,0.76,0.696
TRNNGMK128F423F034,Where Is My Mind?,Pixies,0DJU6KGwdkxEPCy3BZ3UZY,0.435,0.212
TRAALAH128E078234A,Bitter Sweet Symphony,The Verve,0jLnevC3Vn34qVWrAa4X6x,0.907,0.514
TRQFICK128F92F5190,Toxicity,System of a Down,0snQkGI5qnAmohLE7jTsTn,0.873,0.48
TRVRWFY128F4286EF9,Basket Case,Green Day,2WtF8X3W7iHPF2KaJGUCuO,0.943,0.781
TRADPIA128E078EE1B,Heart-Shaped Box,Nirvana,0FMu3Z1yvTJKLWgxG6ZLS5,0.842,0.459
TRFKBXC128F4243FFD,By the Way,Red Hot Chili Peppers,1f2V8U1BiWaC9aJWmpOARe,0.97,0.198
TRCYMBL128F4289BC1,I Will Follow You Into The Dark,Death Cab for Cutie,05LxlxqXeHh8Chl0ro8KHQ,0.206,0.489
TRIMWJA128F9309A68,Smile Like You Mean It,The Killers,03xdrZszrWGIMqyxByAiH5,0.981,0.379
TRRISDV128F42A72DA,Hysteria,Muse,01gGZKbc2EXSZCrk3g9nHJ,0.914,0.441
TRSFPEE128F429B0EE,In Bloom,Nirvana,2qdRHMosT8YO3zfEJQXHsW,0.744,0.595
TRXDGZZ128F92F9696,Love Will Tear Us Apart,Joy Division,01Y6Ruj8IP2zvXfXjvlcTs,0.87,0.602
TRRSZKD128F933D41E,Don't Stop Believin',Journey,0A9NRug5YgRpwKBbcaovYH,0.779,0.476
TRFNNSW12903CDCD85,Someday,The Strokes,13hsNLxj4Q6E8b5Yg1IquK,0.52,0.678
TRCYFSS128F934406C,Don't Panic,Coldplay,0MbCcvzLYu3xq6OgEkSbhC,0.6,0.427
TREFXDG128F421F525,Boulevard of Broken Dreams,Green Day,1hwJKpe0BPUsq6UUrwBWTw,0.679,0.506
TRAIOMW12903CB235C,Back in Black,AC/DC,08mG3Y1vljYA6bvDt4Wqkj,0.7,0.763
TRPFYYL128F92F7144,Float On,Modest Mouse,1Urf1M52P3R6NYdAOJizoW,0.893,0.559
TRAAZQM128F93042E6,Bring Me to Life,Evanescence,00zmBA9YVd5z3ptHFIMGlL,0.93,0.296
TRLPNCR128F4262D8E,Can't Stop,Red Hot Chili Peppers,3ZOEytgrvLwQaqXreDs2Jx,0.938,0.875
TRXZXTP12903CB667B,She Will Be Loved,Maroon 5,03YDy08NY89fQZzhobPz0x,0.704,0.52
TRFROHP128F9309571,Nothing Else Matters,Metallica,0nLiqZ6A27jJri2VCalIUs,0.362,0.158
TRDOMPC128F4236A4D,Paradise City,Guns N' Roses,0LobJmDKU8e8oOJVwIOl55,0.977,0.471
TRUGANP12903CB2C46,Naïve,The Kooks,0itk18Y362KvHpXVwcF6yG,0.791,0.716
TRFNTRW128F422C28C,Trouble,Coldplay,09LoXTH3aa72YWMMYkPtKT,0.511,0.184
TRFWGOJ128E0780C8B,In My Place,Coldplay,0M1MFIuPCxRitJ4lF7q3tx,0.566,0.218
TRRSJTI128F423D1C1,No One Knows,Queens of the Stone Age,063ZwzDTRdyhMa4mKqpfnv,0.516,0.716
TRHMVGF128E078ED9B,Rape Me,Nirvana,11Tm0hw3DDF1gqU0kSEwiC,0.739,0.255
TRUIVAV128F424A428,Polly,Nirvana,0xHch89AN9RlN8Nm4kJzs3,0.392,0.437
TRUFXWT128F147928F,Hurt,Johnny Cash,1jHhOrH4kIhjLFvagzvw1s,0.304,0.184
TRCUKNC12903CA03A6,High and Dry,Radiohead,0LNkoLBBuDYHc5OKY2bOvx,0.383,0.352
TRCRCBT128F4260DD1,Such Great Heights,The Postal Service,0cs7BfenkAuxTVJv96KMme,0.814,0.199
TRSCMBY128F9311188,Mardy Bum,Arctic Monkeys,0gNQKJ5uTPeuxF2iVJAUAc,0.599,0.312
TRYFDIV128F42BAF81,Fake Plastic Trees,Radiohead,045sp2JToyTaaKyXkGejPy,0.229,0.134
TRCSKKO128EF33DD14,Sweet Home Alabama,Lynyrd Skynyrd,00I3Ty0pd83FWrPufrF03P,0.542,0.855
TRYJPIH128F4262602,This Love,Maroon 5,0mIllpvSLn6pEgBNTkCmKX,0.862,0.764
TREIGEZ12903CD2F22,Don't Look Back in Anger,Oasis,0dgwXPvMBoEtA4iljLy0zY,0.913,0.216
TRAAHSY128F147BB5C,Speed of Sound,Coldplay,1CAPtD2FgB23xGewa3nqkg,0.898,0.355
TRQEQMC128F4251B04,Break on Through (to the Other Side),The Doors,1OdO2milIwmQTkIkLZyPo0,0.751,0.789
TRJQVPN128F932BE9C,Here Without You,3 Doors Down,0AG5b5RfnsTUmKWni1WrVT,0.541,0.202
TRJCDDQ128F429B0E4,Black Hole Sun,Soundgarden,00akIMQYqZtMOq20xIOQId,0.829,0.139
TRPSVTL128F936017F,Sultans of Swing,Dire Straits,00C4IJWpY3k2cmo7dHuSs1,0.815,0.921
TRDYCXM128F424421F,Another One Bites the Dust,Queen,0ibKC39pfwJSXY6ZNSbmJN,0.526,0.757
TRDKODA128F92FAF36,Learn to Fly,Foo Fighters,0mWiuXuLAJ3Brin3Or2x6v,0.931,0.527
TRDILER128F425B313,Kryptonite,3 Doors Down,0cb0Ks7AHEG2WojvmxBf1x,0.805,0.529
TRXCSBC128E07943A1,Radioactive,Imagine Dragons,07k45oBi6TbbwB2fxCcGl5,0.765,0.232
TRIQAMB128F4248D92,Are You Gonna Be My Girl,Jet,0bCdJzPO8jzme0oCAtIZxr,0.927,0.591
TRPITSC128F92E27C0,Wake Me Up When September Ends,Green Day,0rWZLMLDOFn7xAtwJrGDuj,0.814,0.146
TRXNSKZ128F427F1FB,Last Nite,The Strokes,1zfcJIw2XkBoBSOzLDbiM5,0.899,0.797
TRCSOOX128F423EDE7,All Apologies,Nirvana,0Bb6Ew55idKQ8IYTiQNnKy,0.666,0.423
TRASRXK128F9311176,Fake Tales of San Francisco,Arctic Monkeys,1RqqEU82PZFxy9AOntKosx,0.772,0.702
TRRVVTK128F422BB5D,Don't Stop Me Now,Queen,0ch4H0B6RvfOvpI47YXyre,0.863,0.23
TROCLWN128F92EB284,Fluorescent Adolescent,Arctic Monkeys,02Y78WneC8bUaKWouKl00v,0.818,0.813
TRWQINA128F9339E57,Buddy Holly,Weezer,0gOyllwzM7IvfuYZ903zNv,0.92,0.771
TRXPXGP128F9319B6D,Island in the Sun,Weezer,07n8herweO0s6AmVvWGg38,0.802,0.692
TRRKQMW128F9312597,Banquet,Bloc Party,10DvIvSGKXCbAQtWsmJ5TF,0.967,0.756
TRFOVTO128F4228CC3,Fortunate Son,Creedence Clearwater Revival,02W3Xt0zd4cXTQ923Cx9Q3,0.761,0.45
TRINBYX128E0788920,1979,The Smashing Pumpkins,0x2RFa998GW2SJ0taSn9W6,0.806,0.963
TRXCCHH128F429C0A9,Lonely Day,System of a Down,0EJHR4yvxC4TdLdbmQ9Ktq,0.796,0.215
TRUFSZX128F9325AAB,Every Breath You Take,The Police,04BZpl14RpYqAtSb5ec5kz,0.788,0.476
TRYFESD128F424095C,How You Remind Me,Nickelback,0F2nGhgFNlkVHm81zNEvW6,0.763,0.538
TRGAIDZ128F92EF7A1,Don't Speak,No Doubt,0usJ6ywAqqeJx1nQl5SWlP,0.707,0.572
TRRGJNU128F92F42BF,Light My Fire,The Doors,04Z8wWkZ9jUFXIbjs1sgUt,0.619,0.523
TRCBZKH128F4277109,We Will Rock You,Queen,03jhnLcIT8C4DhXnNecOZv,0.44,0.494
TRCPPBY128F92F4290,Dream On,Aerosmith,07KHJvlYBeQVqrmifTEqEp,0.528,0.175
TRXIBFG128F42A4CFF,The Kids Aren't Alright,The Offspring,1kYq9r2xSLCPbCpb6jvr4V,0.945,0.812
TRVKVCD128F42803D8,Everything in Its Right Place,Radiohead,0EbbQxW5KqDo2lS4Uxtoz5,0.451,0.0625
TRXTJPE128F424981D,Boys Don't Cry,The Cure,0a3cUjyu8R1UC3MyIawZlA,0.837,0.639
TROPNWM128F1488325,Just Like Heaven,The Cure,00JSPaZtV49IMMtmMDqrcX,0.975,0.754
TRBRRRZ128F930AB47,One Step Closer,Linkin Park,0jLPZfxVzioMLFVx4dcIy1,0.969,0.538
TRGDQFS128F933AD5C,Violet Hill,Coldplay,0aeknkZO0MWCdgwlNMypib,0.587,0.109
TRCQJSC12903D00F96,Beautiful Day,U2,0A5PumFRR67jUbWuzRQOKX,0.737,0.5
TRXZHUK128F424B8BF,With or Without You,U2,07F7HYI1I8i5JWDhEVWCmm,0.49,0.118
TRRGTOV128F425B9D1,I Hate Everything About You,Three Days Grace,0iWMnHtF1EFfRIWTYfx7Wi,0.798,0.474
TRRIGXH12903CB17E1,The Reason,Hoobastank,0f9Ux3Lv1GWGHMyyOgGhbC,0.585,0.0716
TRCRWSN128F4236A4B,November Rain,Guns N' Roses,11C3oTzP4WJ2UlU3TzHtCK,0.679,0.272
TRCTRMZ128F92FD9E4,People Are Strange,The Doors,02RLmWWvhxyvQN93obEr24,0.472,0.769
TRRXNZP128F422157F,The Middle,Jimmy Eat World,0a31rjLfRD2SG0J0aB7CuG,0.848,0.927
TRCTKZT128F421F258,Gimme Shelter,The Rolling Stones,0t7ttzoe3dV0mah4lBI2kx,0.632,0.492
TROTLJX128F92FECBB,My Hero,Foo Fighters,0BkxuWDGOf8d0m6HG9XmeM,0.919,0.301
TRQBGQI128F4267F9B,All Along the Watchtower,Jimi Hendrix,0GuQcX8wTe8bUZ72ZncR7m,0.787,0.562
TRBNYBX128F422EC61,Hey There Delilah,Plain White T's,03U2Ypm7VifnymUMQC0CUh,0.261,0.372
TRAAXZC128F9360095,When the Sun Goes Down,Arctic Monkeys,0bgpvcmfscIdN41ZPwHy5H,0.868,0.415
TRLGOOE128F42530B0,Like a Rolling Stone,Bob Dylan,00mvg9j0RqyqqwrugBTVPr,0.717,0.531
TRKVHUM128F4241E3E,The House of the Rising Sun,The Animals,042wAFeo5OJweqkEom50sN,0.563,0.29
TRBBVGN128F931CBE4,Come Together,The Beatles,2Cy21RP95WjKPXjS343LoK,0.747,0.365
TRSJJWD128F930EAD7,What I've Done,Linkin Park,18lR4BzEs7e3qzc0KVkTpU,0.93,0.287
TRDMUWU128E078EDDB,Dumb,Nirvana,13noTim30TG19L0rg9fa9k,0.405,0.846
TRGTHCA128E0782187,Airbag,Radiohead,11GmOZfxH6ENa1Q2pFVno8,0.89,0.627
TRDBEXV128F42A4ABC,B.Y.O.B.,System of a Down,0EYOdF5FCkgOJJla8DI2Md,0.981,0.711
TRFOWKL12903CB3227,Sympathy for the Devil,The Rolling Stones,01EiSKCrmQvNWWn0bt13eR,0.874,0.834
TRILDGP128F42668BC,Alive,Pearl Jam,00b8rIJGgj2V9L0iGMwPvY,0.825,0.54
TRXHJXZ128F423A18E,Immigrant Song,Led Zeppelin,0PHVHKVy87eLKx3UJ6KwC0,0.926,0.609
TRARTEH128F423DBC1,15 Step,Radiohead,6dsq7Nt5mIFzvm5kIYNORy,0.853,0.847
TRUDYJT12903CCCC61,Money,Pink Floyd,0vFOzaXqZHahrZp6enQwQb,0.536,0.785
TRLKCAU128F934E9D9,Loser,Beck,2egIbgsH3SU7O52AmT0sAn,0.621,0.828
TRLMSAQ128F92E2532,Let It Be,The Beatles,28YZkdihqt3e37t1IcqJIu,0.186,0.504
TRCRNBX128F9308D20,Dancing Shoes,Arctic Monkeys,0e9kNyQTDcmkGEQ0bT3t8W,0.888,0.875
TROLXYT12903D0708D,Eye of the Tiger,Survivor,02RYVyQZ0V1iA5PWvsyTYE,0.719,0.618
TRRGBWT128F4274A56,Drive,Incubus,01OTQZCspr2Y2HRpq9mr7N,0.835,0.661
TRYALRP128F92F521E,Aerials,System of a Down,0m9h2rgCymn7kreQoNKwD8,0.924,0.254
TRUGBPO128F92ECC3A,All I Need,Radiohead,51ygW389BW4Dut3B69pSwc,0.477,0.0966
TRJDZYA128F4264734,Ace of Spades,Motörhead,03oqHD54qPifkz9g1ttyAH,0.992,0.151
TRCVXOW12903CE3516,Ruby,Kaiser Chiefs,04vDgEsrtJPjUiUT9bbOV5,0.933,0.477
TRCUFYM12903CC389B,1901,Phoenix,0cbj0DM7lfCr4uH4dULU4u,0.833,0.722
TRUDPNV12903CB0572,Sunshine of Your Love,Cream,03Z8RmEoNzAbmxTM59m336,0.594,0.734
TRDDCSY128F92EA721,Beat It,Michael Jackson,1jSTY53KABmpgTYewdAcqo,0.792,0.913
TRXGEOD128F9310F1B,(I Can't Get No) Satisfaction,The Rolling Stones,07UAWg4NoxMomSTPcg1BGC,0.902,0.924
TRUTLBV128F4263993,Better Together,Jack Johnson,0ObiMSbGfNfR2AoZ0Bgap2,0.343,0.673
TRADJEA128F9322AA5,Crawling,Linkin Park,0EorNL6AhJkrR2h4IltoaQ,0.702,0.299
TRTVBCS128F92FC322,More Than a Feeling,Boston,02Xy4ARa1RGnE2E0QOKrfa,0.596,0.391
TRWVOJJ12903CCC654,My Immortal,Evanescence,0ftNFLfm5CaVQtJCK0w2L5,0.285,0.0707
TRFNMWD128F930CD13,Closer,Kings of Leon,0CSjOhfM2AGKuLlMx1SQ69,0.768,0.235
TRGAYVX128F42690AD,Let Down,Radiohead,1hBVxV5SOoZsci42lFOOss,0.674,0.145
TRIMAIK128F14AFBE5,All My Life,Foo Fighters,2HbVINmehEbPmjlcueXEJJ,0.599,0.667
TRFNBSB128F932AC25,Paradise,Coldplay,0ACgaYAsSVUSQHJtMcRWRl,0.559,0.187
TRIPQLR128F93094C4,Human,The Killers,06CKy0TlZP1gjcXZK8VhvZ,0.859,0.56
TRALASU128F9319112,Yesterday,The Beatles,0ngCazpXcGnEVmfM28TiIU,0.0781,0.23
TRRJXQO128F42581B4,Maps,Yeah Yeah Yeahs,1B5KN9mubQY65Xad38J4oI,0.935,0.253
TRRUOJE128F931C966,Reckoner,Radiohead,0rvRs0ggyGWRp7ygw7Zi0S,0.632,0.237
TRCTFWI128F930FE9A,What You Know,Two Door Cinema Club,0ywRTFowHoc8gQxafF6uRt,0.735,0.785
TRFOWYR12903CA46E4,Smoke on the Water,Deep Purple,01tFpbYAKvX1x1msvTstC7,0.45,0.829
TRCRDWS128F92D1A2F,Talk,Coldplay,0X1dFlfmp3FbC4Co29gtP2,0.674,0.139
TRYNFDF12903CBCCF6,Whole Lotta Love,Led Zeppelin,0hCB0YR03f6AmQaHbwWDe8,0.902,0.422
TRRNKKU128EF3435E1,What's My Age Again?,blink-182,0vQXXGyeaxDLJmcnbBI4TO,0.946,0.495
TRIMBSF128F92FDD26,Last Resort,Papa Roach,0SjhCnjTT2bXD9RtU8bFT9,0.894,0.732
TROHAZZ128F4267B10,Hallelujah,Jeff Buckley,02nMdFiUg3FKEjJCVs8MsL,0.146,0.089
TRHHSUX128F932E546,Bodysnatchers,Radiohead,1frWqD5oqa1mukQJKYyzqn,0.979,0.712
TRFSAXM128F931B0C4,Iron Man,Black Sabbath,02c7EvN1M0smnya7mg8bVo,0.824,0.5
TRKLWVQ128F933AE91,Riders on the Storm,The Doors,0Kn2aCU4x80ErgP1yS8w5V,0.0952,0.261
TRIVUID128F4265622,Sweet Disposition,The Temper Trap,05oMYwC1Y8FtAZHH4qZpVL,0.746,0.367
TRXJQYQ128F92DB510,Baba O'Riley,The Who,0iXmgTEQgmx7r6Udy0jjAo,0.587,0.171
TRMANRN128F9333924,You Only Live Once,The Strokes,04g720cSffwPtCoYmo09i5,0.909,0.969
TRXBTXG128F9305E78,Lisztomania,Phoenix,2tlV0DuPxMnJntkrmzjZEq,0.797,0.335
TRGBCJL128F4258637,Help!,The Beatles,1Jq182XQ6wDZ90GlN8cBSN,0.734,0.846
TRUDJQA128F930F7B9,Lucky,Radiohead,0aJanktxAN8A1n09lglSUg,0.419,0.216
TRPORLF128F426A718,Even Flow,Pearl Jam,0fG05JGcqIoOl314BelRb1,0.947,0.323
TRITVFR128E078EE0B,Drain You,Nirvana,0bTLGlCqwZXwJGWGE2Dywg,0.929,0.198
TRFXBVX128F4265DC7,Bulls on Parade,Rage Against the Machine,0tZ3mElWcr74OOhKEiNz1x,0.919,0.572
TRXFHME128F92DFB12,Black Dog,Led Zeppelin,0D58ERdLBDRgT86BPnH8ps,0.864,0.749
TRUWYFM128F424933F,Master of Puppets,Metallica,0C6qVPYZifl9owgPzbuUdJ,0.753,0.59
TRDEWAJ12903CDC8EE,House of Cards,Radiohead,3Jc6X15OZCCyhGSHBF4hwB,0.496,0.637
TRRVSYR128E0798025,Good Riddance (Time of Your Life),Green Day,028mxAauDksobrL61eJaBW,0.432,0.648
TRBXUJJ128F421929B,Killer Queen,Queen,0gQRiR0sfUQe9bZ57CgGin,0.494,0.58
TRAVBMS128F1458D8C,Give It Away,Red Hot Chili Peppers,0IRA91bYKETRPMmR7ElJ4X,0.989,0.781
TRMJVCV128F4230135,Idioteque,Radiohead,0S1wc5gjZth8fMtCCb2tZx,0.931,0.53
TROKJKV128F42803DE,Subterranean Homesick Alien,Radiohead,0DBkJikjxC5nnImj5X6cX1,0.592,0.32
TRRJWUB128F9312A92,Breed,Nirvana,26Pwc6QYw9eGCpjdRZhOq4,0.967,0.278
TRULNMQ128F92E1FDA,Plug In Baby,Muse,0wJ9toDPSurZw7IGZVk566,0.953,0.307
TRJOQLY128F425E529,Here Comes the Sun,The Beatles,05GQoBTez2vG0FuRR7YBIp,0.443,0.43
TRILWTF12903CE22FA,Nude,Radiohead,5k7VKj1Xwy5DjO4B0PdAOb,0.342,0.156
TRIVFNE128F92F5951,You're Beautiful,James Blunt,0vg4WnUWvze6pBOJDTq99k,0.479,0.454
TRFYALP128F4281930,Rebellion (Lies),Arcade Fire,0XpcgpD48q7mtdHheRqvpa,0.938,0.757
TRFPXKB128F425A4F1,Helicopter,Bloc Party,0EJ2RozZyb91asNWtKpYO2,0.953,0.372
TRYGLSM128F425966C,London Calling,The Clash,0bUERtRnnajeyW8yY1SvKG,0.789,0.737
TRXDBRF128F930DC7D,Bad Moon Rising,Creedence Clearwater Revival,0afPNa4NIZHEEHt4q6TzDs,0.82,0.961
TRLKCDH128F429020E,One,Metallica,0jY5klyNsolORmHHbPZQk3,0.703,0.419
TRUGQEP12903CD3CA2,Shiver,Coldplay,0qksx8mV28lztYIZ1om8ml,0.803,0.286
TRVMWAV128F42435A0,You Shook Me All Night Long,AC/DC,0leqOXgFI7Klsd1d82sAqr,0.981,0.689
TRCWGFY128F92CBA0B,Hey Jude,The Beatles,1eT2CjXwFXNx6oY5ydvzKU,0.632,0.585
TRUDOXW128F92F2773,Wake Up,Arcade Fire,13XVMNImgSJXJhZGZ2DVWb,0.806,0.358
TRNKLCC128F4219282,We Are the Champions,Queen,0BtR4Per0HkJnzyFgcf65E,0.446,0.155
TROIVMX128F4275985,Say It Ain't So,Weezer,0dvQf1327ZYM8QAqxqdSYF,0.436,0.446
TRDDQVR128F424B197,The Kill,30 Seconds to Mars,0lP4HYLmvowOKdsQ7CVkuq,0.912,0.289
TRBENMR12903CE9B16,Dirty Harry,Gorillaz,1KO4G0SKmiycFlv7Ate0Xn,0.868,0.875
TRACVBT128F92F8BE2,Seaside,The Kooks,0QCuMBeqdWkwFUTO1WlAjH,0.41,0.324
TRRZOHT128F423AB57,The Funeral,Band of Horses,173wd2gfNMJJJ8l1EqCEBH,0.777,0.102
TRGJTIY128F4296A0E,All You Need Is Love,The Beatles,0BWoyGLDhDwvFtTOntc6ko,0.532,0.727
TRPAFCY128F931119B,A Certain Romance,Arctic Monkeys,0eDQj41kzBhMKQIkTt6OJR,0.881,0.201
TRRHHOO12903CBCACC,Times Like These,Foo Fighters,06s6aloy62vytl3MnT6gfl,0.668,0.183
TRILAJY12903D1353D,Imagine,John Lennon,0DlxUXYmGLFKf1Fx8mu1aO,0.479,0.261
TRFQCHJ12903CFB21A,"Tonight, Tonight",The Smashing Pumpkins,1ulWieXWAXHtK0qtMwN4DG,0.644,0.177
TRXCBKZ128F932D6E3,Lullaby,The Cure,09OpntwPHuNICsyEt1ETpE,0.676,0.551
TRJGACD128F9347658,Roxanne,The Police,02JnoHSIDbpVW40uipjKcL,0.791,0.703
TRREXTV128F14A3A72,Eleanor Rigby,The Beatles,0B49TX6lePZ1adrX56FSLR,0.137,0.337
TRUGZRR128F427E2AC,Jeremy,Pearl Jam,108lyj5gobzMHWoA2x78B1,0.791,0.278
TRFVODL128F92E2A79,Torn,Natalie Imbruglia,00OWAtzQPKm9gJc6zPt1pi,0.87,0.59
TRJZDTU128F4248A37,Yellow Submarine,The Beatles,3EG9bmVkuWy9zvaNG7ICom,0.487,0.655
TRXIIFL128F9327395,When I Come Around,Green Day,0mhFWJ1HkT8pTeqdlNRxvA,0.909,0.814
TRUDLLR128F42A961D,Lonely Boy,The Black Keys,03EjPxNKoVwBTVswiMQGBF,0.919,0.599
TROHBTQ128F427ECF2,Holiday,Green Day,4VgEM12OeaN3GyBV487Me7,0.89,0.716
TRUDLKK12903CBFFC1,Lovesong,The Cure,0GIblQfuDHoP52JQlrjkrW,0.821,0.897
TRCQKEZ128F933F180,Behind Blue Eyes,Limp Bizkit,0ApGb6NH1TQP7klarPq2VW,0.502,0.101
TRZODCU128F933923E,Chelsea Dagger,The Fratellis,084kYAuQJmG0WoFGwwhyHK,0.754,0.528
TRFOBPI128F42734B9,The Unforgiven,Metallica,0BAjUM6V9P9g8rK83hVUTJ,0.584,0.244
TRJTMGB128F93114F0,Hollaback Girl,Gwen Stefani,0eqH0ALoDQevq59YcQ53KE,0.916,0.904
TRPNHQL128F4292D76,Go With the Flow,Queens of the Stone Age,0AGgUnniaBt9Y7jTPz39EU,0.986,0.48
TRFQXDQ128F42602A5,Just,Radiohead,0ipkZxV5sDXwD8h8KC5a73,0.767,0.358
TRVFEEC128E0780E80,Brown Eyed Girl,Van Morrison,01q5WmN5aYsQiKOLYjP1nT,0.679,0.887
TRNULHY128F92F8F1B,Teddy Picker,Arctic Monkeys,26ocLzyIX0dkfDgAerzFzs,0.963,0.823
TRDUOHB128F92F24DC,Monkey Wrench,Foo Fighters,0Y6LOyCGL6AgWDc0zGcLKt,0.962,0.703
TRAOYIG12903D01EE4,Tears in Heaven,Eric Clapton,07LEcHlBHJQ3cAJjXpUKyV,0.143,0.328
TROIJLZ128F92F820B,Something,The Beatles,7qxpXV2nymnKbMzBb9YbWx,0.275,0.297
TROIISO128F93184B7,Everybody's Changing,Keane,05S0MaQOMQKj3is716qkSl,0.841,0.441
TRRFYYS12903CF59B7,Black,Pearl Jam,0lcEdt6j1FsJM8ofTLSJJH,0.619,0.252
TRDBIXL128E0782FCA,The Passenger,Iggy Pop,07kRL6U0zXUWqcNjv1ETgl,0.754,0.36
TROVIUK128F145A17F,Ooh La,The Kooks,0QiQwayYRa0WC6u4mQJtDI,0.873,0.786
