word,valence,arousal
adventurism,0.667,1.0
adventurist,0.619,0.667
adventurous,0.938,0.796
adventurously,0.667,0.875
adventurousness,1.0,0.917
adverb,0.0,-0.19
adverbial,0.0,-0.667
adversarial,-0.667,0.889
adversary,-0.302,0.554
adverse,-0.354,0.22
adversely,-0.875,0.667
adverseness,-0.667,0.583
adversity,-0.448,0.444
advert,0.0,0.556
advertently,0.0,0.381
advertise,0.0,0.058
advertised,0.625,0.667
advertisement,0.2,0.132
advertiser,0.0,0.667
advertising,0.244,0.216
advertize,0.167,0.667
adverts,0.102,0.0
advice,0.396,-0.184
advisability,0.611,-0.667
advisable,0.734,-0.04
advisably,0.63,-0.667
advise,0.52,-0.214
advised,0.635,-0.504
advisedly,0.533,-0.667
advisee,0.167,-0.333
advisement,0.396,-0.53
adviser,0.49,-0.276
advisor,0.292,-0.3
advisory,0.312,-0.142
advocacy,0.0,0.292
advocate,0.102,0.06
advocator,0.75,0.667
advocatory,0.611,0.63
aegis,-0.02,-0.122
aerate,0.519,0.667
aeration,0.1,0.0
aerator,0.667,0.667
aerial,0.23,-0.078
aerialist,0.667,0.714
aerially,0.0,0.333
aerobatic,0.619,1.0
aerobic,0.667,1.0
aerobically,0.667,1.0
aerobics,0.416,0.542
aerobiological,0.0,0.667
aerobiology,0.0,0.667
aerodrome,0.082,0.48
aerodynamic,0.122,0.448
aerodynamicist,0.611,0.667
aerodynamics,0.18,0.326
aerograph,0.0,0.056
aerographer,0.042,0.19
aerographic,0.056,0.0
aerologist,0.0,0.125
aeromechanical,0.0,0.667
aeromechanics,0.0,0.667
aerometer,0.0,0.0
aeronaut,0.833,0.593
aeronautic,0.556,0.667
aeronautical,0.667,0.625
aeronautically,0.571,0.037
aeronautics,0.102,0.266
aerophobia,-0.667,0.75
aeroplane,0.428,0.284
aerosol,0.0,0.0
aerospace,0.286,0.04
aerosphere,0.0,0.0
aerostatic,0.0,0.375
aerostation,0.375,0.704
aesthetic,0.416,-0.116
aesthetical,0.875,-0.571
aesthetically,0.708,-0.133
aesthetician,0.619,-0.593
aestheticism,0.667,-0.667
aesthetics,0.694,-0.346
aetiology,-0.04,-0.204
afar,-0.208,-0.254
affability,1.0,-0.481
affable,0.408,-0.24
affableness,1.0,-0.667
affably,0.708,-0.417
affair,0.04,-0.082
affect,-0.084,0.138
affectation,-0.667,0.0
affectedly,-0.619,0.381
affectedness,-0.667,0.63
affecting,-0.3,0.148
affection,0.796,0.118
affectionate,0.898,-0.156
affectionately,1.0,-0.667
affections,0.52,0.094
affective,0.667,0.667
affectively,0.095,0.519
affectivity,0.619,0.667
affectless,-0.667,-0.958
affiche,-0.042,-0.47
affidavit,-0.062,0.168
affiliate,0.556,0.25
affiliated,0.346,0.038
affiliation,0.23,0.188
affinitive,0.5,0.0
affinity,0.6,0.0
affirm,0.49,0.018
affirmable,0.708,0.0
affirmation,0.5,0.0
affirmative,0.708,0.178
affirmatively,0.816,0.0
affirmer,0.667,0.625
affix,-0.124,-0.33
affixation,0.037,0.533
affixer,0.0,0.667
afflict,-0.396,0.11
afflicted,-0.458,0.0
afflicter,-0.75,0.667
affliction,-0.412,0.27
afflictive,-0.75,-0.667
affluence,0.326,0.236
affluent,0.512,-0.224
affluently,0.714,-0.333
afford,0.142,0.16
affordability,0.714,0.0
affordable,0.68,-0.204
affront,-0.346,0.48
affronted,-0.23,0.5
afghan,0.0,-0.037
afghanistan,0.0,0.0
aficionado,0.611,0.611
afield,0.188,-0.26
afire,-0.266,0.808
aflame,0.208,1.0
afloat,0.204,-0.146
aflutter,0.333,1.0
afoot,0.095,0.625
afore,0.0,-0.326
aforehand,0.0,0.0
aforementioned,-0.02,-0.368
aforesaid,0.062,-0.284
aforethought,0.0,0.593
afoul,-0.6,0.619
afraid,-0.977,0.352
afresh,0.286,0.042
afro,0.444,0.074
aft,-0.04,-0.166
after,0.234,0.0
afterbirth,-0.37,-0.476
afterburner,0.0,1.0
afterburning,-0.2,0.708
aftercare,0.667,-0.625
aftereffect,-0.333,-0.556
aftergame,0.19,0.667
afterglow,1.0,-0.481
afterhours,0.111,0.625
afterlife,0.142,0.134
afterload,0.0,0.19
aftermarket,0.0,0.542
aftermath,-0.376,-0.102
aftermost,0.0,0.0
afternoon,0.066,-0.224
afterparty,0.75,1.0
aftersale,0.625,-0.667
afterschool,0.25,0.476
aftershave,-0.188,-0.232
aftershock,-0.5,0.714
aftertaste,-0.292,-0.276
afterthought,-0.208,-0.216
aftertime,0.0,-0.63
afterward,0.0,-0.619
afterword,0.095,-0.63
afterworld,-0.286,-0.19
aga,0.084,-0.346
again,-0.096,-0.044
against,-0.552,0.096
agamemnon,-0.524,0.667
agape,0.224,0.058
agate,0.08,-0.246
agave,0.5,-0.476
age,0.122,-0.548
aged,-0.73,-0.27
agedly,-0.333,-0.708
agedness,-0.286,-0.815
ageism,-0.667,-0.5
ageist,-1.0,0.667
ageless,0.667,-0.519
agelessness,0.792,-0.815
agencies,0.083,0.667
agency,-0.08,-0.408
agenda,0.062,-0.408
agent,-0.04,-0.122
agglomeration,-0.1,0.53
aggravate,-0.552,0.54
aggravated,-0.842,0.52
aggravates,-0.784,0.464
aggravating,-0.486,0.467
aggravation,-0.858,0.568
aggravator,-0.667,0.958
aggregate,0.46,-0.244
aggregately,0.0,0.0
aggregation,0.166,0.034
aggregative,0.0,-0.556
aggregator,0.0,0.63
aggresive,-0.882,0.893
aggression,-0.812,0.858
aggressive,-0.75,0.898
aggressively,-0.5,0.852
aggressiveness,-0.846,0.826
aggressor,-0.708,0.896
aggrieve,-0.667,0.667
aggrieved,-0.667,0.042
aggrievedly,-0.667,0.611
agh,-0.48,0.0
aghast,-0.734,0.73
aghhh,-0.438,0.27
agile,0.6,0.314
agilely,1.0,1.0
agility,0.44,0.404
aging,-0.572,-0.49
agitate,-0.4,0.592
agitated,-0.112,0.764
agitatedly,-0.667,1.0
agitation,-0.52,0.862
agitator,-0.571,1.0
aglow,0.56,0.02
agnostic,-0.388,-0.208
agnostically,0.0,-0.583
agnosticism,-0.067,-0.407
ago,-0.366,-0.44
agog,0.708,1.0
agonist,0.542,0.667
agonistic,-0.667,0.667
agonistically,-0.611,0.667
agonize,-0.667,1.0
agonizing,-0.834,0.6
agony,-0.834,0.55
agoraphobia,-0.746,0.424
agoraphobic,-1.0,-0.81
agrarian,0.333,-0.333
agree,0.812,-0.48
agreeability,1.0,-0.476
agreeable,0.812,0.0
agreeableness,1.0,-0.407
agreeably,0.714,-0.571
agreed,0.594,-0.102
agreeing,0.708,-0.04
agreement,0.52,-0.12
agressive,-0.834,0.836
agribusiness,0.037,0.5
agricultural,0.372,-0.358
agriculturalist,0.286,0.556
agriculturally,0.292,0.333
agriculture,0.355,-0.286
agriculturist,0.625,0.524
agrobiologist,0.556,0.667
agrochemical,-0.619,0.0
agronomic,0.429,-0.381
agronomist,0.571,0.519
aground,-0.334,-0.32
agua,0.196,-0.64
aha,0.096,0.03
ahead,0.416,0.04
ahem,-0.292,0.333
ahh,0.0,-0.206
ahhh,0.124,0.034
ahhhh,-0.242,-0.196
ahhhhhhhh,0.104,0.298
ahold,0.048,-0.048
ahoy,0.0,-0.006
aid,0.774,-0.018
aide,0.448,-0.316
aiding,0.286,0.066
aidless,-0.667,-0.667
aids,0.122,-0.04
ail,-0.25,-0.132
ailing,-0.812,0.036
ailment,-0.708,0.468
aim,-0.038,0.138
aimless,-0.7,-0.466
aimlessly,-0.667,-0.714
aimlessness,-0.667,-0.958
air,0.416,-0.674
airbag,0.02,-0.196
airbase,0.0,0.0
airbed,0.25,-0.458
airboat,0.083,0.704
airborne,0.084,0.038
airbrush,0.667,0.63
aircraft,0.292,0.288
aircraftman,0.0,0.667
aircraftsman,0.0,0.619
aircrew,0.048,0.667
airdrop,0.037,0.889
airfare,-0.238,0.0
airfield,0.202,0.3
airflow,0.571,0.667
airforce,0.667,0.667
airframe,0.083,0.0
airfreight,0.0,0.667
airhead,-0.458,-0.038
airily,0.375,0.333
airiness,0.542,-0.852
airless,-0.667,-0.833
airlift,0.146,0.244
airline,0.3,-0.036
airliner,0.334,0.554
airlock,-0.204,0.04
airmail,0.667,0.667
airman,0.174,0.432
airmanship,1.0,0.667
airplane,0.438,0.404
airplay,0.583,0.667
airport,0.458,0.368
airpower,0.667,0.889
airproof,0.667,-0.667
airs,0.166,-0.608
airshaft,-0.238,-0.267
airship,0.084,-0.056
airshow,0.667,1.0
airsick,-0.667,0.611
airsickness,-0.963,0.667
airspace,0.124,0.02
airspeed,0.166,0.56
airstream,0.5,0.667
airstrike,-0.704,1.0
airstrip,0.1,0.38
airtight,-0.042,-0.238
airtime,0.6,0.667
airwave,0.0,0.429
airway,0.276,0.17
airwoman,0.667,0.667
airworthiness,0.583,-0.667
airworthy,0.963,0.048
airy,0.611,0.238
aisle,-0.124,-0.556
ait,-0.23,-0.22
ajar,-0.08,-0.174
aka,-0.082,-0.284
akimbo,0.0,0.593
akin,0.278,-0.314
alabaster,0.084,-0.192
alacrity,0.708,1.0
alamo,-0.542,0.0
alarm,-0.518,0.764
alarmclock,-0.19,1.0
alarmed,-0.624,0.644
alarming,-0.592,0.78
alarmism,-0.667,0.963
alarmist,-0.667,0.952
alas,0.142,-0.38
alb,0.042,-0.24
albacore,0.037,0.0
albanian,0.0,0.0
albatross,0.0,-0.11
albeit,0.0,0.0
albinism,0.0,-0.333
albino,0.0,-0.52
album,0.27,-0.302
alchemic,0.667,0.417
alchemically,0.048,0.5
alchemist,0.389,0.667
alchemistic,0.0,0.619
alchemize,0.125,0.667
alchemy,0.082,0.166
alcohol,-0.354,0.334
alcoholic,-0.694,0.376
alcoholism,-0.878,0.558
alcove,-0.02,-0.32
alderman,0.1,-0.082
ale,0.06,-0.1
alehouse,0.048,0.667
alert,-0.042,0.64
alertly,0.917,0.933
alertness,-0.25,0.75
alerts,-0.326,0.608
alfalfa,0.092,-0.5
alfresco,0.667,0.333
algae,0.0,-0.667
algebra,-0.12,-0.32
algebraic,0.062,-0.176
algebraically,0.0,-0.519
algorithm,-0.104,-0.212
algorithmic,0.2,0.667
alias,0.082,-0.294
alibi,-0.208,0.056
alien,-0.18,0.23
alienability,0.0,0.0
alienable,0.0,0.0
alienate,-0.506,0.0
alienated,-0.18,-0.154
alienation,-0.244,0.06
alienator,-0.778,0.63
alienist,-0.667,0.667
alight,0.334,0.314
align,0.312,-0.272
aligned,0.166,-0.45
aligner,0.583,0.667
alignment,0.286,-0.176
alike,0.306,-0.654
alikeness,0.292,-0.533
alimentation,0.578,-0.116
alimony,0.224,-0.046
aliquot,-0.12,-0.38
alive,0.511,0.274
alkali,-0.02,-0.3
alkaline,0.286,-0.375
alkalinity,0.0,-0.889
alkalinize,0.611,0.611
alkalization,0.667,-0.333
alkalize,0.667,-0.25
alkaloid,0.0,0.407
alkaloids,-0.134,0.124
all,0.0,0.0
allay,-0.166,-0.188
allegation,0.156,0.156
allege,-0.164,-0.036
allegeable,0.0,-0.667
alleged,-0.27,0.044
allegedly,-0.333,-0.037
allegiance,0.834,-0.204
allegiant,1.0,-0.542
allegoric,0.0,-0.417
allegorical,0.034,0.116
allegorically,0.0,-0.583
allegorist,0.593,-0.185
allegoristic,0.037,-0.167
allegorize,0.0,-0.481
allegory,0.23,0.16
allegro,0.27,0.254
allergen,-0.722,0.556
allergenic,-0.667,0.0
allergic,-0.73,0.098
allergies,-0.667,0.0
allergist,0.0,0.667
allergy,-0.408,0.212
alleviate,0.738,-0.46
alleviation,0.47,-0.6
alleviative,0.741,-0.619
alleviator,0.708,-0.619
alley,-0.306,0.0
